,time(s) , sensor1(vol) , sensor2(vol) , sensor3(vol) ,  sensor4(vol) , pulse , DC1(vol) , DC2(vol) ,humidity
0,9.49,0.179119,0.132398,0.131753,0.183952,0.482324,1.41127,0.319927,0.268373
1,9.5,0.178152,0.133042,0.133364,0.184274,0.481357,1.411915,0.319605,0.267084
2,9.51,0.178475,0.133364,0.13272,0.18363,0.48039,1.412237,0.319605,0.266117
3,9.52,0.178797,0.133687,0.133042,0.184597,0.479746,1.412881,0.320572,0.269339
4,9.53,0.178475,0.133364,0.132076,0.182986,0.480713,1.413526,0.319283,0.269984
5,9.54,0.179441,0.133364,0.13272,0.182986,0.481035,1.413203,0.320249,0.268373
6,9.55,0.178797,0.13272,0.133687,0.182986,0.48039,1.414492,0.319605,0.26805
7,9.56,0.179441,0.133364,0.132398,0.18363,0.482001,1.414492,0.318638,0.268373
8,9.57,0.179119,0.134009,0.131109,0.184597,0.482001,1.41417,0.318638,0.26805
9,9.58,0.179441,0.133687,0.132076,0.183308,0.480713,1.411915,0.319283,0.268695
10,9.59,0.179441,0.133364,0.132398,0.183952,0.48039,1.410626,0.320249,0.268695
11,9.6,0.180086,0.133687,0.132398,0.184274,0.480713,1.410948,0.319605,0.269339
12,9.61,0.178797,0.132398,0.13272,0.184597,0.481035,1.409659,0.319605,0.269339
13,9.62,0.180408,0.135942,0.132398,0.183952,0.481357,1.409981,0.318638,0.268695
14,9.63,0.176219,0.129176,0.131431,0.184274,0.478135,1.409337,0.319927,0.269339
15,9.64,0.182986,0.13562,0.132398,0.184274,0.479424,1.411592,0.318638,0.268373
16,9.65,0.178475,0.132398,0.132076,0.184274,0.480713,1.411915,0.319927,0.268695
17,9.66,0.179119,0.134653,0.13272,0.183308,0.482968,1.410948,0.319605,0.269017
18,9.67,0.178475,0.131753,0.132398,0.184597,0.482324,1.41127,0.319605,0.269984
19,9.68,0.179119,0.133687,0.131753,0.184274,0.481035,1.412237,0.319927,0.266762
20,9.69,0.488446,0.627965,0.900237,1.296239,2.964348,1.413526,0.320572,0.269339
21,9.7,2.114666,1.987069,2.248385,2.460725,2.974336,1.414492,0.31896,0.268373
22,9.71,2.637299,2.419804,2.655988,2.828695,2.977881,1.409981,0.319927,0.269017
23,9.72,2.807429,2.56029,2.786807,2.956937,2.975625,1.410626,0.320249,0.269662
24,9.73,2.855439,2.607011,2.831273,3.004947,2.980136,1.411915,0.319927,0.268373
25,9.74,2.877672,2.625377,2.84545,3.011391,2.978847,1.413203,0.320894,0.269984
26,9.75,2.883794,2.629888,2.849317,3.020735,2.978847,1.41417,0.320894,0.268695
27,9.76,2.88766,2.631499,2.84255,3.022669,2.978525,1.415459,0.319283,0.269017
28,9.77,2.889594,2.623122,2.840939,3.023635,2.978525,1.411592,0.320249,0.26805
29,9.78,2.889594,2.625055,2.84255,3.025246,2.977559,1.411592,0.320894,0.269017
30,9.79,2.880894,2.623444,2.841906,3.025569,2.980458,1.412237,0.320249,0.266439
31,9.8,2.878638,2.625699,2.843195,3.015902,2.978847,1.412559,0.320249,0.269662
32,9.81,2.879927,2.625377,2.832884,3.013324,2.977881,1.414815,0.319605,0.268695
33,9.82,2.879927,2.625377,2.834173,3.017835,2.979492,1.410626,0.319927,0.268695
34,9.83,2.881538,2.618611,2.833206,3.016869,2.979492,1.410626,0.320894,0.269017
35,9.84,2.870261,2.617322,2.833851,3.01848,2.981103,1.411915,0.320249,0.267406
36,9.85,2.871872,2.618289,2.834173,3.009458,2.97917,1.412881,0.320249,0.269662
37,9.86,2.873161,2.620222,2.824506,3.009136,2.978525,1.414815,0.319605,0.268695
38,9.87,2.87445,2.619577,2.825795,3.010425,2.978847,1.41127,0.320249,0.269017
39,9.88,2.875094,2.612811,2.826762,3.010747,2.974981,1.410626,0.319927,0.269017
40,9.89,2.868005,2.612166,2.827406,3.008813,2.97917,1.412881,0.320894,0.266117
41,9.9,2.865428,2.6141,2.828051,3.00398,2.978525,1.413526,0.320572,0.269339
42,9.91,2.867361,2.614422,2.819029,3.003014,2.978203,1.414815,0.320249,0.268373
43,9.92,2.867683,2.613778,2.819995,3.004625,2.97917,1.409337,0.31896,0.268695
44,9.93,2.867361,2.6083,2.819029,3.00688,2.977881,1.410948,0.320249,0.269339
